variable,experiment,ensemble,model,year,value,zstore
tas,1pctCO2,r1i1p1f1,MPI-ESM1-2-HR,1850,-0.8161471757828735,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20190710/
tas,1pctCO2,r1i1p1f1,MPI-ESM1-2-HR,1851,-0.8515337348826506,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20190710/
tas,1pctCO2,r1i1p1f1,MPI-ESM1-2-HR,1852,-0.8169703726331932,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20190710/
tas,1pctCO2,r1i1p1f1,MPI-ESM1-2-HR,1853,-0.7980862086057527,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20190710/
tas,1pctCO2,r1i1p1f1,MPI-ESM1-2-HR,1854,-0.7032773485792063,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20190710/
tas,1pctCO2,r1i1p1f1,MPI-ESM1-2-HR,1855,-0.7364591181128048,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20190710/
tas,1pctCO2,r1i1p1f1,MPI-ESM1-2-HR,1856,-0.6329567343820486,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20190710/
tas,1pctCO2,r1i1p1f1,MPI-ESM1-2-HR,1857,-0.6399657844808644,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20190710/
tas,1pctCO2,r1i1p1f1,MPI-ESM1-2-HR,1858,-0.6488354614315313,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20190710/
tas,1pctCO2,r1i1p1f1,MPI-ESM1-2-HR,1859,-0.5970568666751888,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20190710/
tas,1pctCO2,r1i1p1f1,MPI-ESM1-2-HR,1860,-0.6054441382470372,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20190710/
tas,1pctCO2,r1i1p1f1,MPI-ESM1-2-HR,1861,-0.6054934888554158,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20190710/
tas,1pctCO2,r1i1p1f1,MPI-ESM1-2-HR,1862,-0.5975191045911856,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20190710/
tas,1pctCO2,r1i1p1f1,MPI-ESM1-2-HR,1863,-0.6265745236337921,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20190710/
tas,1pctCO2,r1i1p1f1,MPI-ESM1-2-HR,1864,-0.7090856793859075,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20190710/
tas,1pctCO2,r1i1p1f1,MPI-ESM1-2-HR,1865,-0.6663344408100329,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20190710/
tas,1pctCO2,r1i1p1f1,MPI-ESM1-2-HR,1866,-0.524064542386327,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20190710/
tas,1pctCO2,r1i1p1f1,MPI-ESM1-2-HR,1867,-0.4537981106233815,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20190710/
tas,1pctCO2,r1i1p1f1,MPI-ESM1-2-HR,1868,-0.3926267886388928,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20190710/
tas,1pctCO2,r1i1p1f1,MPI-ESM1-2-HR,1869,-0.5105287167006622,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20190710/
tas,1pctCO2,r1i1p1f1,MPI-ESM1-2-HR,1870,-0.4219735054261946,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20190710/
tas,1pctCO2,r1i1p1f1,MPI-ESM1-2-HR,1871,-0.4527099199141844,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20190710/
tas,1pctCO2,r1i1p1f1,MPI-ESM1-2-HR,1872,-0.582513194620276,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20190710/
tas,1pctCO2,r1i1p1f1,MPI-ESM1-2-HR,1873,-0.4919947244787295,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20190710/
tas,1pctCO2,r1i1p1f1,MPI-ESM1-2-HR,1874,-0.45755844037728366,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20190710/
tas,1pctCO2,r1i1p1f1,MPI-ESM1-2-HR,1875,-0.18153674177250423,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20190710/
tas,1pctCO2,r1i1p1f1,MPI-ESM1-2-HR,1876,-0.1340096295431863,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20190710/
tas,1pctCO2,r1i1p1f1,MPI-ESM1-2-HR,1877,-0.23256417856947564,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20190710/
tas,1pctCO2,r1i1p1f1,MPI-ESM1-2-HR,1878,-0.27178004279454626,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20190710/
tas,1pctCO2,r1i1p1f1,MPI-ESM1-2-HR,1879,-0.12198197643681397,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20190710/
tas,1pctCO2,r1i1p1f1,MPI-ESM1-2-HR,1880,-0.12001970982532839,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20190710/
tas,1pctCO2,r1i1p1f1,MPI-ESM1-2-HR,1881,-0.12369915737610881,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20190710/
tas,1pctCO2,r1i1p1f1,MPI-ESM1-2-HR,1882,-0.16051534594595296,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20190710/
tas,1pctCO2,r1i1p1f1,MPI-ESM1-2-HR,1883,-0.22829582514913227,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20190710/
tas,1pctCO2,r1i1p1f1,MPI-ESM1-2-HR,1884,-0.08647328667512966,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20190710/
tas,1pctCO2,r1i1p1f1,MPI-ESM1-2-HR,1885,-0.13109177899661972,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20190710/
tas,1pctCO2,r1i1p1f1,MPI-ESM1-2-HR,1886,-0.15472641286157796,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/v20190710/
