variable,experiment,ensemble,model,year,value,zstore
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1850,-1.045359190394663,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1851,-1.0922846463923293,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1852,-1.1225582893703177,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1853,-1.0652304220608926,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1854,-1.0652309768464079,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1855,-1.1544421985146869,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1856,-1.2758034065695938,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1857,-1.1105398836522795,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1858,-0.9706713256887838,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1859,-1.0674931956398837,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1860,-1.188910541448024,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1861,-1.173213853985601,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1862,-1.3259954053679053,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1863,-1.1439986320899038,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1864,-1.2127198442870508,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1865,-1.2049910192022821,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1866,-1.0325206909961366,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1867,-1.065018990760393,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1868,-1.0242760085290001,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1869,-1.0177530367035388,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1870,-1.0346598721797022,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1871,-0.891819050292213,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1872,-1.0864001201186397,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1873,-1.1003343032693351,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1874,-0.862239103849106,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1875,-0.8822104182194721,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1876,-1.0009444489302268,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1877,-1.1001283955142185,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1878,-1.044688239751963,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1879,-0.9202770092149422,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1880,-0.9663283926061581,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1881,-0.9370347312238891,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1882,-0.9403357196355273,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1883,-1.0377718872679225,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1884,-1.364716274144996,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1885,-1.3787320289222293,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1886,-1.1899730133508797,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1887,-1.1735930908939167,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1888,-1.1766148571333588,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1889,-1.2043954835574482,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1890,-1.1876819729716885,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1891,-1.154351327025438,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1892,-1.0726868746556875,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1893,-1.1287777579989324,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1894,-1.137855915320813,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
tas,ssp126,r3i1p1f1,FIO-ESM-2-0,1895,-0.9826536210865129,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/historical/r3i1p1f1/Amon/tas/gn/v20191226/
