variable,experiment,ensemble,model,year,value,zstore
tas,1pctCO2,r1i1p1f3,HadGEM3-GC31-MM,1850,-0.5880733784122185,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/1pctCO2/r1i1p1f3/Amon/tas/gn/v20200115/
tas,1pctCO2,r1i1p1f3,HadGEM3-GC31-MM,1851,-0.5216371172177219,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/1pctCO2/r1i1p1f3/Amon/tas/gn/v20200115/
tas,1pctCO2,r1i1p1f3,HadGEM3-GC31-MM,1852,-0.5261752255887586,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/1pctCO2/r1i1p1f3/Amon/tas/gn/v20200115/
tas,1pctCO2,r1i1p1f3,HadGEM3-GC31-MM,1853,-0.5107420141833927,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/1pctCO2/r1i1p1f3/Amon/tas/gn/v20200115/
tas,1pctCO2,r1i1p1f3,HadGEM3-GC31-MM,1854,-0.6934823279304396,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/1pctCO2/r1i1p1f3/Amon/tas/gn/v20200115/
tas,1pctCO2,r1i1p1f3,HadGEM3-GC31-MM,1855,-0.5548123621834407,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/1pctCO2/r1i1p1f3/Amon/tas/gn/v20200115/
tas,1pctCO2,r1i1p1f3,HadGEM3-GC31-MM,1856,-0.4252671348814374,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/1pctCO2/r1i1p1f3/Amon/tas/gn/v20200115/
tas,1pctCO2,r1i1p1f3,HadGEM3-GC31-MM,1857,-0.4856802611304829,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/1pctCO2/r1i1p1f3/Amon/tas/gn/v20200115/
tas,1pctCO2,r1i1p1f3,HadGEM3-GC31-MM,1858,-0.46736063814972795,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/1pctCO2/r1i1p1f3/Amon/tas/gn/v20200115/
tas,1pctCO2,r1i1p1f3,HadGEM3-GC31-MM,1859,-0.37884566996990543,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/1pctCO2/r1i1p1f3/Amon/tas/gn/v20200115/
tas,1pctCO2,r1i1p1f3,HadGEM3-GC31-MM,1860,-0.35310215529153766,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/1pctCO2/r1i1p1f3/Amon/tas/gn/v20200115/
tas,1pctCO2,r1i1p1f3,HadGEM3-GC31-MM,1861,-0.4746959599175966,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/1pctCO2/r1i1p1f3/Amon/tas/gn/v20200115/
tas,1pctCO2,r1i1p1f3,HadGEM3-GC31-MM,1862,-0.3016045690006308,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/1pctCO2/r1i1p1f3/Amon/tas/gn/v20200115/
tas,1pctCO2,r1i1p1f3,HadGEM3-GC31-MM,1863,-0.2714578759409392,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/1pctCO2/r1i1p1f3/Amon/tas/gn/v20200115/
tas,1pctCO2,r1i1p1f3,HadGEM3-GC31-MM,1864,-0.2682807475084701,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/1pctCO2/r1i1p1f3/Amon/tas/gn/v20200115/
tas,1pctCO2,r1i1p1f3,HadGEM3-GC31-MM,1865,-0.360402002138585,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/1pctCO2/r1i1p1f3/Amon/tas/gn/v20200115/
tas,1pctCO2,r1i1p1f3,HadGEM3-GC31-MM,1866,-0.35431805098068025,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/1pctCO2/r1i1p1f3/Amon/tas/gn/v20200115/
tas,1pctCO2,r1i1p1f3,HadGEM3-GC31-MM,1867,-0.10254273097604027,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/1pctCO2/r1i1p1f3/Amon/tas/gn/v20200115/
tas,1pctCO2,r1i1p1f3,HadGEM3-GC31-MM,1868,-0.0010288819323704956,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/1pctCO2/r1i1p1f3/Amon/tas/gn/v20200115/
tas,1pctCO2,r1i1p1f3,HadGEM3-GC31-MM,1869,-0.12757443178014682,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/1pctCO2/r1i1p1f3/Amon/tas/gn/v20200115/
tas,1pctCO2,r1i1p1f3,HadGEM3-GC31-MM,1870,-0.12456909437736385,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/1pctCO2/r1i1p1f3/Amon/tas/gn/v20200115/
tas,1pctCO2,r1i1p1f3,HadGEM3-GC31-MM,1871,-0.09072397303663138,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/1pctCO2/r1i1p1f3/Amon/tas/gn/v20200115/
