year,value,variable,stitching_id
1850,-1.4364770565341018,tas,ssp245~r1i1p1f1~1
1851,-1.2156694652522333,tas,ssp245~r1i1p1f1~1
1852,-1.234284215299624,tas,ssp245~r1i1p1f1~1
1853,-1.3301093208520456,tas,ssp245~r1i1p1f1~1
1854,-1.3292066932939974,tas,ssp245~r1i1p1f1~1
1855,-1.0839130523950755,tas,ssp245~r1i1p1f1~1
1856,-1.268180679985278,tas,ssp245~r1i1p1f1~1
1857,-1.2686164228571783,tas,ssp245~r1i1p1f1~1
1858,-1.3229973560844996,tas,ssp245~r1i1p1f1~1
1859,-1.4968034861308863,tas,ssp245~r1i1p1f1~1
1860,-1.45496183813475,tas,ssp245~r1i1p1f1~1
1861,-1.2406002040926296,tas,ssp245~r1i1p1f1~1
1862,-1.1767585947895327,tas,ssp245~r1i1p1f1~1
1863,-1.2003068593583637,tas,ssp245~r1i1p1f1~1
1864,-1.3784687000501776,tas,ssp245~r1i1p1f1~1
1865,-1.2471077192882944,tas,ssp245~r1i1p1f1~1
1866,-1.1327956044944472,tas,ssp245~r1i1p1f1~1
1867,-1.305067731383872,tas,ssp245~r1i1p1f1~1
1868,-1.37368577552337,tas,ssp245~r1i1p1f1~1
1869,-1.258841992662326,tas,ssp245~r1i1p1f1~1
1870,-1.1601052807491783,tas,ssp245~r1i1p1f1~1
1871,-1.0755519052126488,tas,ssp245~r1i1p1f1~1
1872,-1.1990050221562,tas,ssp245~r1i1p1f1~1
1873,-1.269449746601424,tas,ssp245~r1i1p1f1~1
1874,-1.4059654114856244,tas,ssp245~r1i1p1f1~1
1875,-1.3062525577393558,tas,ssp245~r1i1p1f1~1
1876,-1.1814562244465492,tas,ssp245~r1i1p1f1~1
1877,-1.161035258279071,tas,ssp245~r1i1p1f1~1
1878,-1.1283497607621484,tas,ssp245~r1i1p1f1~1
1879,-1.16272486400527,tas,ssp245~r1i1p1f1~1
1880,-1.0966936495803452,tas,ssp245~r1i1p1f1~1
1881,-1.11103435973439,tas,ssp245~r1i1p1f1~1
1882,-1.218171878355406,tas,ssp245~r1i1p1f1~1
1883,-1.0556115640875987,tas,ssp245~r1i1p1f1~1
1884,-1.454480058270974,tas,ssp245~r1i1p1f1~1
1885,-1.3678404285904548,tas,ssp245~r1i1p1f1~1
1886,-1.384692305411818,tas,ssp245~r1i1p1f1~1
1887,-1.1786442847995318,tas,ssp245~r1i1p1f1~1
1888,-1.310034803231645,tas,ssp245~r1i1p1f1~1
1889,-1.298218270708901,tas,ssp245~r1i1p1f1~1
1890,-1.228303224094475,tas,ssp245~r1i1p1f1~1
1891,-1.217029149266864,tas,ssp245~r1i1p1f1~1
1892,-1.3171962405265845,tas,ssp245~r1i1p1f1~1
1893,-1.2649134943545164,tas,ssp245~r1i1p1f1~1
1894,-1.1353537601769972,tas,ssp245~r1i1p1f1~1
1895,-0.9467929257404536,tas,ssp245~r1i1p1f1~1
1896,-1.1770347770874992,tas,ssp245~r1i1p1f1~1
1897,-1.2913983862742953,tas,ssp245~r1i1p1f1~1
1898,-1.0969165093817423,tas,ssp245~r1i1p1f1~1
1899,-1.1673109970446944,tas,ssp245~r1i1p1f1~1
1900,-1.3336779260802132,tas,ssp245~r1i1p1f1~1
1901,-1.1268536319651616,tas,ssp245~r1i1p1f1~1
1902,-1.0659486571906882,tas,ssp245~r1i1p1f1~1
1903,-1.0823096716912914,tas,ssp245~r1i1p1f1~1
1904,-1.2489213098865548,tas,ssp245~r1i1p1f1~1
1905,-1.2359205727840958,tas,ssp245~r1i1p1f1~1
