model,experiment,ensemble,variable,zstore,domain
BCC-CSM2-MR,1pctCO2,r1i1p1f1,siv,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/SImon/siv/gn/v20181012/,SImon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,simass,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/SImon/simass/gn/v20181012/,SImon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,sitemptop,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/SImon/sitemptop/gn/v20181012/,SImon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,siu,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/SImon/siu/gn/v20181012/,SImon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,sivol,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/SImon/sivol/gn/v20181012/,SImon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,sndmasssnf,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/SImon/sndmasssnf/gn/v20181012/,SImon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,sisnthick,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/SImon/sisnthick/gn/v20181012/,SImon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,cVeg,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Lmon/cVeg/gn/v20181012/,Lmon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,cLitter,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Lmon/cLitter/gn/v20181012/,Lmon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,snw,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/LImon/snw/gn/v20181012/,LImon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,mrsol,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Emon/mrsol/gn/v20181012/,Emon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,evspsblsoi,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Lmon/evspsblsoi/gn/v20181012/,Lmon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,gpp,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Lmon/gpp/gn/v20181012/,Lmon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,tran,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Lmon/tran/gn/v20181012/,Lmon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,prveg,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Lmon/prveg/gn/v20181012/,Lmon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,mrsos,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Lmon/mrsos/gn/v20181012/,Lmon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,mrso,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Lmon/mrso/gn/v20181012/,Lmon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,mrros,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Lmon/mrros/gn/v20181012/,Lmon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,mrro,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Lmon/mrro/gn/v20181012/,Lmon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,lai,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Lmon/lai/gn/v20181012/,Lmon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,evspsblveg,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Lmon/evspsblveg/gn/v20181012/,Lmon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,sos,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Omon/sos/gn/v20181015/,Omon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,masscello,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Omon/masscello/gn/v20181015/,Omon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,clt,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/clt/gn/v20181015/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,evspsbl,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/evspsbl/gn/v20181015/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,hfls,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/hfls/gn/v20181015/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,hfss,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/hfss/gn/v20181015/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,masso,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Omon/masso/gn/v20181015/,Omon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,hur,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/hur/gn/v20181015/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,hus,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/hus/gn/v20181015/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,huss,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/huss/gn/v20181015/,Amon
BCC-CSM2-MR,1pctCO2,r1i1p1f1,tosga,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Omon/tosga/gn/v20181015/,Omon
