variable,experiment,ensemble,model,year,value
tas,1pctCO2,r1i1p1f1,CESM2,0001,-1.1248965307894991
tas,1pctCO2,r1i1p1f1,CESM2,0001,-1.1248965307894991
tas,1pctCO2,r1i1p1f1,CESM2,0002,-1.0018813225033796
tas,1pctCO2,r1i1p1f1,CESM2,0002,-1.0018813225033796
tas,1pctCO2,r1i1p1f1,CESM2,0003,-0.9936792198646458
tas,1pctCO2,r1i1p1f1,CESM2,0003,-0.9936792198646458
tas,1pctCO2,r1i1p1f1,CESM2,0004,-1.0973465384412293
tas,1pctCO2,r1i1p1f1,CESM2,0004,-1.0973465384412293
tas,1pctCO2,r1i1p1f1,CESM2,0005,-1.0737306601947694
tas,1pctCO2,r1i1p1f1,CESM2,0005,-1.0737306601947694
tas,1pctCO2,r1i1p1f1,CESM2,0006,-0.9379327892177685
tas,1pctCO2,r1i1p1f1,CESM2,0006,-0.9379327892177685
tas,1pctCO2,r1i1p1f1,CESM2,0007,-0.9295248462690324
tas,1pctCO2,r1i1p1f1,CESM2,0007,-0.9295248462690324
tas,1pctCO2,r1i1p1f1,CESM2,0008,-0.6903722875395033
tas,1pctCO2,r1i1p1f1,CESM2,0008,-0.6903722875395033
tas,1pctCO2,r1i1p1f1,CESM2,0009,-0.6645860644396748
tas,1pctCO2,r1i1p1f1,CESM2,0009,-0.6645860644396748
tas,1pctCO2,r1i1p1f1,CESM2,0010,-0.6271354462597287
tas,1pctCO2,r1i1p1f1,CESM2,0010,-0.6271354462597287
tas,1pctCO2,r1i1p1f1,CESM2,0011,-0.6387307407672438
tas,1pctCO2,r1i1p1f1,CESM2,0011,-0.6387307407672438
tas,1pctCO2,r1i1p1f1,CESM2,0012,-0.7910492802557201
tas,1pctCO2,r1i1p1f1,CESM2,0012,-0.7910492802557201
tas,1pctCO2,r1i1p1f1,CESM2,0013,-0.738539764947916
tas,1pctCO2,r1i1p1f1,CESM2,0013,-0.738539764947916
tas,1pctCO2,r1i1p1f1,CESM2,0014,-0.5611839350977448
tas,1pctCO2,r1i1p1f1,CESM2,0014,-0.5611839350977448
tas,1pctCO2,r1i1p1f1,CESM2,0015,-0.5667988733358129
tas,1pctCO2,r1i1p1f1,CESM2,0015,-0.5667988733358129
tas,1pctCO2,r1i1p1f1,CESM2,0016,-0.7006154171711501
tas,1pctCO2,r1i1p1f1,CESM2,0016,-0.7006154171711501
tas,1pctCO2,r1i1p1f1,CESM2,0017,-0.5380093416028444
tas,1pctCO2,r1i1p1f1,CESM2,0017,-0.5380093416028444
tas,1pctCO2,r1i1p1f1,CESM2,0018,-0.5837663359667999
tas,1pctCO2,r1i1p1f1,CESM2,0018,-0.5837663359667999
tas,1pctCO2,r1i1p1f1,CESM2,0019,-0.7288567933076138
tas,1pctCO2,r1i1p1f1,CESM2,0019,-0.7288567933076138
tas,1pctCO2,r1i1p1f1,CESM2,0020,-0.4994511199631688
tas,1pctCO2,r1i1p1f1,CESM2,0020,-0.4994511199631688
tas,1pctCO2,r1i1p1f1,CESM2,0021,-0.4405718569109922
tas,1pctCO2,r1i1p1f1,CESM2,0021,-0.4405718569109922
tas,1pctCO2,r1i1p1f1,CESM2,0022,-0.33854389487015624
tas,1pctCO2,r1i1p1f1,CESM2,0022,-0.33854389487015624
tas,1pctCO2,r1i1p1f1,CESM2,0023,-0.17361573271381303
tas,1pctCO2,r1i1p1f1,CESM2,0023,-0.17361573271381303
tas,1pctCO2,r1i1p1f1,CESM2,0024,-0.17034709668013193
tas,1pctCO2,r1i1p1f1,CESM2,0024,-0.17034709668013193
tas,1pctCO2,r1i1p1f1,CESM2,0025,-0.4995954758536527
tas,1pctCO2,r1i1p1f1,CESM2,0025,-0.4995954758536527
tas,1pctCO2,r1i1p1f1,CESM2,0026,-0.31774999420935046
tas,1pctCO2,r1i1p1f1,CESM2,0026,-0.31774999420935046
tas,1pctCO2,r1i1p1f1,CESM2,0027,-0.3254580228162922
tas,1pctCO2,r1i1p1f1,CESM2,0027,-0.3254580228162922
tas,1pctCO2,r1i1p1f1,CESM2,0028,-0.48258525105666195
tas,1pctCO2,r1i1p1f1,CESM2,0028,-0.48258525105666195
tas,1pctCO2,r1i1p1f1,CESM2,0029,-0.4340363780393659
tas,1pctCO2,r1i1p1f1,CESM2,0029,-0.4340363780393659
tas,1pctCO2,r1i1p1f1,CESM2,0030,-0.15195633592003333
tas,1pctCO2,r1i1p1f1,CESM2,0030,-0.15195633592003333
tas,1pctCO2,r1i1p1f1,CESM2,0031,-0.09154105378763688
tas,1pctCO2,r1i1p1f1,CESM2,0031,-0.09154105378763688
tas,1pctCO2,r1i1p1f1,CESM2,0032,-0.13711121708331575
tas,1pctCO2,r1i1p1f1,CESM2,0032,-0.13711121708331575
tas,1pctCO2,r1i1p1f1,CESM2,0033,-0.0775437432253625
tas,1pctCO2,r1i1p1f1,CESM2,0033,-0.0775437432253625
tas,1pctCO2,r1i1p1f1,CESM2,0034,0.16096864705656344
tas,1pctCO2,r1i1p1f1,CESM2,0034,0.16096864705656344
tas,1pctCO2,r1i1p1f1,CESM2,0035,0.18995551682405676
tas,1pctCO2,r1i1p1f1,CESM2,0035,0.18995551682405676
tas,1pctCO2,r1i1p1f1,CESM2,0036,0.10260371735915896
