,year,value,variable,stitching_id
1741,1868,-0.4932956782325277,tas,ssp245~r3i1p1f1~4
1742,1869,-0.5260590712043154,tas,ssp245~r3i1p1f1~4
1743,1870,-0.6465500601836425,tas,ssp245~r3i1p1f1~4
1744,1871,-0.6594308446273089,tas,ssp245~r3i1p1f1~4
1745,1872,-0.7473183422936813,tas,ssp245~r3i1p1f1~4
1746,1873,-0.6384348113142551,tas,ssp245~r3i1p1f1~4
1747,1874,-0.7039085193899268,tas,ssp245~r3i1p1f1~4
1748,1875,-0.6804964697004721,tas,ssp245~r3i1p1f1~4
1749,1876,-0.5793528405450274,tas,ssp245~r3i1p1f1~4
1843,1913,-0.384554152853525,tas,ssp245~r3i1p1f1~4
1844,1914,-0.4616703005649469,tas,ssp245~r3i1p1f1~4
1845,1915,-0.6667110215626622,tas,ssp245~r3i1p1f1~4
1846,1916,-0.7436850450524162,tas,ssp245~r3i1p1f1~4
1847,1917,-0.7497875811680501,tas,ssp245~r3i1p1f1~4
1848,1918,-0.7617097898153133,tas,ssp245~r3i1p1f1~4
1849,1919,-0.6763721951471666,tas,ssp245~r3i1p1f1~4
1850,1920,-0.5018110903901061,tas,ssp245~r3i1p1f1~4
1851,1921,-0.4993545579413307,tas,ssp245~r3i1p1f1~4
1849,1922,-0.6763721951471666,tas,ssp245~r3i1p1f1~4
1850,1923,-0.5018110903901061,tas,ssp245~r3i1p1f1~4
1851,1924,-0.4993545579413307,tas,ssp245~r3i1p1f1~4
1852,1925,-0.5641263994784254,tas,ssp245~r3i1p1f1~4
1853,1926,-0.5958489177023125,tas,ssp245~r3i1p1f1~4
1854,1927,-0.5011911288767124,tas,ssp245~r3i1p1f1~4
1855,1928,-0.3641015492904103,tas,ssp245~r3i1p1f1~4
1856,1929,-0.5555764146084243,tas,ssp245~r3i1p1f1~4
1857,1930,-0.5720557492469425,tas,ssp245~r3i1p1f1~4
1769,1958,-0.7832719799124561,tas,ssp245~r3i1p1f1~4
1770,1959,-0.7668456391369318,tas,ssp245~r3i1p1f1~4
1771,1960,-0.7280933382731405,tas,ssp245~r3i1p1f1~4
1772,1961,-0.673434586294718,tas,ssp245~r3i1p1f1~4
1773,1962,-0.7072308420826516,tas,ssp245~r3i1p1f1~4
1774,1963,-0.8651147179504051,tas,ssp245~r3i1p1f1~4
1775,1964,-0.6948058456005128,tas,ssp245~r3i1p1f1~4
1776,1965,-0.6213003785434239,tas,ssp245~r3i1p1f1~4
1777,1966,-0.6010344486320491,tas,ssp245~r3i1p1f1~4
1790,1967,-0.6936588598691174,tas,ssp245~r3i1p1f1~4
1791,1968,-0.7743740460220465,tas,ssp245~r3i1p1f1~4
1792,1969,-0.5805630311571122,tas,ssp245~r3i1p1f1~4
1793,1970,-0.6124281921981947,tas,ssp245~r3i1p1f1~4
1794,1971,-0.855096775785853,tas,ssp245~r3i1p1f1~4
1795,1972,-0.897727823093021,tas,ssp245~r3i1p1f1~4
1796,1973,-1.0327857540452214,tas,ssp245~r3i1p1f1~4
1797,1974,-0.8429357868309921,tas,ssp245~r3i1p1f1~4
1798,1975,-0.6322208251282859,tas,ssp245~r3i1p1f1~4
1957,1850,-0.5837541122366474,tas,ssp245~r3i1p1f1~4
1958,1851,-0.8129227944755257,tas,ssp245~r3i1p1f1~4
1959,1852,-0.8678372735158177,tas,ssp245~r3i1p1f1~4
1960,1853,-0.8887143288622497,tas,ssp245~r3i1p1f1~4
1961,1854,-0.7928033398388834,tas,ssp245~r3i1p1f1~4
1962,1855,-0.9768053762789464,tas,ssp245~r3i1p1f1~4
1963,1856,-0.7239994069641398,tas,ssp245~r3i1p1f1~4
1964,1857,-0.6588090849390369,tas,ssp245~r3i1p1f1~4
1965,1858,-0.5769937570447041,tas,ssp245~r3i1p1f1~4
1955,1886,-0.7458584052142783,tas,ssp245~r3i1p1f1~4
1956,1887,-0.7049183791853579,tas,ssp245~r3i1p1f1~4
1957,1888,-0.5837541122366474,tas,ssp245~r3i1p1f1~4
1958,1889,-0.8129227944755257,tas,ssp245~r3i1p1f1~4
1959,1890,-0.8678372735158177,tas,ssp245~r3i1p1f1~4
1960,1891,-0.8887143288622497,tas,ssp245~r3i1p1f1~4
1961,1892,-0.7928033398388834,tas,ssp245~r3i1p1f1~4
1962,1893,-0.9768053762789464,tas,ssp245~r3i1p1f1~4
1963,1894,-0.7239994069641398,tas,ssp245~r3i1p1f1~4
1939,1895,-0.6812541178690026,tas,ssp245~r3i1p1f1~4
1940,1896,-0.8890184982815299,tas,ssp245~r3i1p1f1~4
1941,1897,-0.7086164079327659,tas,ssp245~r3i1p1f1~4
1942,1898,-0.6710507962112615,tas,ssp245~r3i1p1f1~4
1943,1899,-0.7312246148520103,tas,ssp245~r3i1p1f1~4
1944,1900,-0.699056281731373,tas,ssp245~r3i1p1f1~4
1945,1901,-0.7464384505678368,tas,ssp245~r3i1p1f1~4
1946,1902,-0.6369700668352607,tas,ssp245~r3i1p1f1~4
1947,1903,-0.7771720686422441,tas,ssp245~r3i1p1f1~4
2009,1904,-0.6720283918190262,tas,ssp245~r3i1p1f1~4
2010,1905,-0.7955152831349324,tas,ssp245~r3i1p1f1~4
2011,1906,-0.714480155031481,tas,ssp245~r3i1p1f1~4
2012,1907,-0.845882853845012,tas,ssp245~r3i1p1f1~4
2013,1908,-0.8358414067936906,tas,ssp245~r3i1p1f1~4
2014,1909,-0.8157922523503203,tas,ssp245~r3i1p1f1~4
2015,1910,-0.6005631754245542,tas,ssp245~r3i1p1f1~4
2016,1911,-0.6554482254323375,tas,ssp245~r3i1p1f1~4
2017,1912,-0.7574101430123505,tas,ssp245~r3i1p1f1~4
1924,1931,-0.6304074689915069,tas,ssp245~r3i1p1f1~4
1925,1932,-0.5547652835387566,tas,ssp245~r3i1p1f1~4
1926,1933,-0.695063277161637,tas,ssp245~r3i1p1f1~4
1927,1934,-0.6163016175570419,tas,ssp245~r3i1p1f1~4
1928,1935,-0.6544126749387829,tas,ssp245~r3i1p1f1~4
1929,1936,-0.6339970642853245,tas,ssp245~r3i1p1f1~4
1930,1937,-0.7354824435296905,tas,ssp245~r3i1p1f1~4
1931,1938,-1.0410960278938433,tas,ssp245~r3i1p1f1~4
1932,1939,-0.987148499101977,tas,ssp245~r3i1p1f1~4
1913,1940,-0.7599638582585726,tas,ssp245~r3i1p1f1~4
1914,1941,-0.5835165523763521,tas,ssp245~r3i1p1f1~4
1915,1942,-0.6105434102883578,tas,ssp245~r3i1p1f1~4
1916,1943,-0.4752593377563698,tas,ssp245~r3i1p1f1~4
1917,1944,-0.5046531512495562,tas,ssp245~r3i1p1f1~4
1918,1945,-0.536813862681413,tas,ssp245~r3i1p1f1~4
1919,1946,-0.4846984148679212,tas,ssp245~r3i1p1f1~4
